HOUSEHOLD INFO: Latitude	HOUSEHOLD INFO: Longitude
0.51926	-1.666944
0.51926	-1.666944
0.51926	-1.666944
0.518329	-1.666516
0.519561	-1.666776
0.519974	-1.666724
0.519974	-1.666724
0.519244	-1.667191
0.519276	-1.666969
0.519276	-1.666969
0.519274	-1.666944
0.519557	-1.666925
0.519557	-1.666925
0.519423	-1.667107
0.519552	-1.666776
0.519754	-1.666461
0.519754	-1.666461
0.519754	-1.666461
0.519362	-1.66686
0.519391	-1.666042
0.51938	-1.666551
0.51938	-1.666551
0.519201	-1.667649
0.519108	-1.667663
0.519167	-1.667674
0.519167	-1.667674
0.519072	-1.667678
0.519347	-1.666836
0.519347	-1.666836
0.519347	-1.666836
0.5196	-1.66634
0.5196	-1.66634
0.519335	-1.667688
0.522226	-1.668451
0.518499	-1.666009
0.519339	-1.666816
0.519339	-1.666816
0.519339	-1.666816
0.51993	-1.664918
0.518344	-1.665984
0.518344	-1.665984
0.518344	-1.665984
0.519361	-1.664671
0.519665	-1.666616
0.517801	-1.666915
0.519069	-1.667895
0.519762	-1.666728
0.519811	-1.666758
0.519129	-1.667922
0.519129	-1.667922
0.513741	-1.671325
0.519323	-1.667951
0.519323	-1.667951
0.519807	-1.66683
0.519807	-1.66683
0.519775	-1.667977
0.51903	-1.66799
0.519591	-1.666845
0.519591	-1.666845
0.519599	-1.666854
0.519445	-1.666861
0.519445	-1.666861
0.519445	-1.666861
0.519445	-1.666861
0.519472	-1.666859
0.519463	-1.664399
0.519463	-1.664399
0.519438	-1.666874
0.519438	-1.666874
0.519438	-1.666874
0.519463	-1.664399
0.518276	-1.666132
0.518276	-1.666132
0.519536	-1.666911
0.519642	-1.666909
0.519536	-1.66692
0.519536	-1.66692
0.519588	-1.666928
0.519588	-1.666928
0.519588	-1.666928
0.519633	-1.666938
0.519596	-1.666939
0.519596	-1.666939
0.51946	-1.666937
0.519328	-1.666841
0.519586	-1.666354
0.519586	-1.666354
0.518508	-1.665993
0.519341	-1.666924
0.519341	-1.666924
0.519341	-1.666924
0.519366	-1.666905
0.519366	-1.666905
0.519463	-1.664399
0.519463	-1.664399
0.519309	-1.666934
0.518713	-1.665931
0.518713	-1.665931
0.519364	-1.667019
0.519364	-1.667019
0.519364	-1.667019
0.519364	-1.667019
0.519402	-1.667022
0.519402	-1.667022
0.519363	-1.66703
0.519363	-1.66703
0.51933	-1.667041
